Symbol	Description
ALLM.OB	Alliance Bioenergy Plus Inc
ALLVF.OB	Altice N.V.
ALLWF.OB	Allied Minds Plc
ALMC.OB	Alimco Financial Corp
ALME.OB	Alamo Energy Corp
ALMFF.OB	Altium FX Ltd
ALMMF.OB	Aluminum Corp of China Ltd
ALMTF.OB	Almonty Industries
ALNPY.OB	All Nippon Airways C
ALOD.OB	Allied Resources Inc
ALPE.OB	Alpha-En Corp
ALPIB.OB	Alpine Banks Colorado
ALPMF.OB	Astellas Pharma Inc
ALPMY.OB	Astellas Pharma Inc
ALPP.OB	Alpine 4 Technologies Ltd
ALPVN.OB	Alabama Pwr 4.60 Pd
ALRGF.OB	Antler Gold Inc
ALRT.OB	Alr Technologies Inc
ALRY.OB	Allenergy Inc
ALSMY.OB	Alstom S.A.
ALSRF.OB	Alstria Office Ag
ALSSF.OB	Alsea S.A.
ALST.OB	Allstar Health Brands Inc
ALSTD.OB	Allstar Health Brands Inc
ALSWF.OB	Absolute Software Cp
ALTAF.OB	Altura Mining
ALTCY.OB	Altice NV ADR
ALTD.OB	Altitude International Inc
ALTGF.OB	Altagas Ltd Fxdfr Prf Perpetual USD 25 Ser C
ALTKF.OB	Altran Technologies Sa
ALTKY.OB	Altran Tech Sa ADR
ALTMW.OB	Altus Midstream Company WT
ALTN.OB	Alternus Energy Inc
ALTX.OB	Altex Industries Inc
ALVLF.OB	Alto Ventures Ltd
ALVOF.OB	Alvopetro Energy
ALVRQ.OB	Alvarion Ltd
ALVVF.OB	Altice Europe N.V. Cl B
ALXEF.OB	Alx Uranium Corp
ALYI.OB	Alternet Systems Inc
AMADF.OB	Amadeus IT Holding S
AMADY.OB	Amadeus IT Hlds S.A.
AMAR.OB	Amarillo Biosciences
AMAZ.OB	Amazing Energy Oil & Gas CO
AMBBY.OB	Ambu A/S ADR
AMBFF.OB	Ambu A/S
AMBK.OB	American Bank Inc
AMBS.OB	Amarantus Bioscience Holdings Inc
AMBZ.OB	American Business Bank
AMCCF.OB	Amcor Plc Cdi
AMCF.OB	Andatee China Marine Fuel Services
AMCO.OB	Armco Metals Holdings Inc Com
AMCT.OB	American Education Center Inc
AMCY.OB	Acs Global Inc
AMDDW.OB	Sintx Technologies Inc WT Exp 05/11/2023
AMDHF.OB	Cardiex Ltd
AMDLY.OB	Amada Holdings CO Ltd ADR
AMEN.OB	Amen Properties Inc
AMEUF.OB	Admedus
AMFC.OB	A M B Financial Cp
AMGDF.OB	Aston Martin Lagonda Global Holdings Plc
AMGY.OB	American Metal & Tec
AMHD.OB	Amelot Holdings Inc
AMHPF.OB	Amazon Mining Hld
AMHV.OB	American Hemp Ventures Inc
AMIGF.OB	Admiral Group Plc
AMIGY.OB	Admiral Group Plc
AMIH.OB	American Intl Hlds Corp
AMIN.OB	American Intl Ind
AMKBF.OB	A.P. Moeller Maers B
AMKBY.OB	A.P. Moeller-Maersk A/S
AMLH.OB	American Leisure Hld
AMLM.OB	American Lithium Min
AMLTF.OB	Amp Ltd
AMLYY.OB	Amp Ltd ADR
AMLZF.OB	African Minerals Ltd
AMMCF.OB	Amur Minerals Corp Ord
AMMJ.OB	American Cannabis Company Inc
AMMX.OB	Ameramex Intl Inc
AMNC.OB	Amincor Inc A
AMNCB.OB	Amincor Inc B
AMNE.OB	American Green Group Inc
AMNF.OB	Armanino Foods
AMNL.OB	Applied Minerals Inc
AMNP.OB	American Sierra Gold
AMNZF.OB	Ambrian Plc
AMPG.OB	Amplitech Group
AMPYW.OB	Amplify Energy Corp WT Exp 05/04/2022
AMRQQ.OB	Alta Mesa Resources Inc
AMRR.OB	American Metals Recovery & Recycling Inc
AMRT.OB	Amer Mart Corp
AMRU.OB	Amaru Inc
AMRWQ.OB	Alta Mesa Resources Inc WT [28/03/2024]
AMRYY.OB	Amryt Pharma Plc ADR
AMRZF.OB	Arena Minerals Inc
AMSA.OB	American Seniors Association Holding Group Inc
AMSIY.OB	Arcelormittal ADR
AMSLF.OB	Australian Mines Ltd
AMSSY.OB	Ams Ag ADR
AMSU.OB	Amanasu Environmnt Corp
AMSYF.OB	Arcelormittal Sa
AMTCQ.OB	Ameritrans Capital Corp
AMTPQ.OB	Ameritrans Cap 9.375 Pfd
AMTY.OB	Amerityre Corp
