Symbol	Description
KGFHY.OB	Kingfisher New ADR
KGHI.OB	Kaiser Group Holding
KGKG.OB	Kona Gold Solutions Inc
KGNR.OB	Kange Corp
KGRI.OB	Kiley Group Inc
KGRSY.OB	Kingsrose Mining Ltd ADR
KGSPY.OB	Kingspan Group Plc ADR
KGTFF.OB	Krung Thai Bank Public CO Ltd
KGTFY.OB	Krung Thai Bk Pub CO
KGTHY.OB	Krungthai Card Public CO Ltd ADR
KHDHF.OB	Khd Humboldt
KHNGF.OB	Kuehne & Nagel Intl
KHNGY.OB	Kuehne & Nagel Inter
KHOLY.OB	Koc Holdings As
KHRIF.OB	Khan Resources Inc
KHRNF.OB	Khiron Life Sciences Corp
KHTRF.OB	Knight Therapeutics
KHZM.OB	Madison Ave Media
KIDBQ.OB	Kid Brands
KIERF.OB	Kier Group Plc
KIGRY.OB	Kion Group Ag
KIKOF.OB	Kikkoman Corp
KIKOY.OB	Kikkoman Corp
KIROY.OB	Kumba Iron Ore Ltd
KIRY.OB	Kiewit Royalty Trust
KISB.OB	Kish Bancorp Inc
KITL.OB	Kisses From Italy Inc
KIWB.OB	Kiwibox.com Inc
KKKUF.OB	Kakaku.com Inc Tokyo
KKOYY.OB	Kesko Oyj ADR
KKPNF.OB	Koninklijke Kpn NV
KKPNY.OB	Royal Kpn N.V.
KKWFF.OB	Koninklijke Boskalis Westminster N.V.
KLBAY.OB	Klabin Sa ADR
KLDI.OB	Kldiscovery
KLDIW.OB	Kldiscovery Inc Warrants [01/12/2025]
KLFE.OB	Kannalife Inc
KLGG.OB	Klegg Electronics Inc
KLMN.OB	Kalmin Corp
KLPEF.OB	Klepierre Sa Ord
KLRGF.OB	Keller Group Plc Ord
KLSVF.OB	Klondike Silver Corp
KLTI.OB	Klaustech Inc
KLYCY.OB	Kunlun Energy ADR
KLYG.OB	Kelyniam Global
KMAG.OB	Kma Global Sltns Intl Inc
KMBIF.OB	Kambi Group Ltd
KMERF.OB	Komercni Banka As
KMFI.OB	Keller Manufacturing Company Inc
KMGH.OB	Kemiao Garment Holding Group
KMGLF.OB	Asiamet Resources Ltd
KMRCF.OB	Komori Corp
KMSWF.OB	Kingmaker Footwear H
KMTUF.OB	Komatsu Ltd Ord
KMTUY.OB	Komatsu Ltd ADR
KNAMF.OB	Konami Holdings Corp
KNBHF.OB	Knorr Bremse Ag
KNBIF.OB	Kane Biotech
KNBWF.OB	Kirin Holdings CO Ltd
KNBWY.OB	Kirin Holdings Compa
KNCAF.OB	Konica Minolta Inc
KNCAY.OB	Konica Minolta Holdings Inc
KNDYF.OB	Kenadyr Mining [Holdings]
KNKT.OB	Kunekt Corp
KNMCY.OB	Konami Corp
KNNGF.OB	Kion Group Ag
KNNNF.OB	Kainos Group Plc
KNOS.OB	Kronos Advanced Tech
KNRLF.OB	Kontrol Energy Corp
KNRRY.OB	Knorr-Bremse Ag ADR
KNSC.OB	Kenergy Scientific Inc
KNTNF.OB	K92 Mining Inc
KNWN.OB	Know Labs Inc
KNYJF.OB	Kone Oyj B
KNYJY.OB	Kone Oyj ADR B Shs
KOAN.OB	Resonate Blends Inc.
KONAQ.OB	Kona Grill Inc
KOOYF.OB	Kootenay Gold Inc
KOREF.OB	Kore Mining Ltd
KOSCF.OB	Kose Corp [Japan]
KOSK.OB	One Step Vending Corp
KOTMY.OB	Koito Manufacturing Co. Ltd ADR
KOVR.OB	Korver Corp
KOYWF.OB	Kootenay Silver Inc WT
KPAY.OB	Kinerjapay Corp
KPCPF.OB	Kasikornbank Pu F Re
KPCPY.OB	Kasikornbank Pub ADR
KPELY.OB	Keppel Corp Ltd ADR
KPIFF.OB	Edgewater Wireless S
KPLIF.OB	Keppel Infrastructure Trust Units
KPLUF.OB	K+S Ag
KPLUY.OB	K Plus S Ag ADR
KPOC.OB	Kimberly Parry Organics Corp
KPTSF.OB	Kp Tissue Inc
KRBF.OB	Kreido Biofuels Inc
KRDXF.OB	Kardex Ag Zuerich Ord
KRED.OB	Konared Corp
KREVF.OB	K-Real Estate Invest
KRFG.OB	King Resources Inc
KRIUF.OB	Keg Royalties Inc Fd
KRKNF.OB	Kraken Sonar Inc
KRLTF.OB	Karnalyte Res Inc
KRNGF.OB	Karoon Gas Australia
KRNNF.OB	Krones Ag
KRNTY.OB	Krones Ag ADR
KRPI.OB	Kriptech International Corp Ordinary Shares
KRRYF.OB	Kerry Logistics Network Ltd
KRYAF.OB	Kerry Group Cl A Ord
KRYAY.OB	Kerry Group Plc
KRYPF.OB	Kerry Properties Hk
KSBI.OB	KS Bancorp Inc [Nc]
KSFTF.OB	Kingsoft Corp Ltd
KSHB.OB	Kush Bottles Inc
KSIH.OB	KS International Holdings Corp
KSKGF.OB	Kingsgate Cons NL
KSKGY.OB	Kingsgate Cons S/Adr
KSPHF.OB	Kissei Pharmaceuticals CO Ltd
KSQR.OB	Kendall Square Resh Corp
KSRYY.OB	Kose Corp [Japan] ADR
KSSH.OB	Kesselring Hld Corp
KTBA.OB	Spc Bellsouth Corts
KTEL.OB	Konatel Inc
KTGDF.OB	Kent Gida
KTHGF.OB	Kantone Holdings Ltd
KTHN.OB	Katahdin Bankshs Cp
KTNNF.OB	Kootenay Zinc
KTPPF.OB	Katipult Technology Corp
KTWIF.OB	Kurita Water Inds Ltd
KTYB.OB	Kentucky Bancshs
KUBTF.OB	Kubota Corporation
KUBTY.OB	Kubota Corporation
KUKAF.OB	Kuka Ag
KUKAY.OB	Kuka Ag
KULR.OB	Kulr Technology Group Inc
KUMBF.OB	Kumba Iron Ore Ltd Ord
KUNUF.OB	Kunlun Energy
KURRF.OB	Kuraray CO Ltd
KURRY.OB	Kuraray Co.Ltd
KVAEF.OB	Kvaerner ASA Ordinary
KVIL.OB	Kidville Inc
KVLQF.OB	Valore Metals Corp
KVMD.OB	Kelvin Medical Inc
KWBT.OB	Kiwa Bio-Tech Products Group Corp
KWGBF.OB	Kwg Resources Inc
KWGPF.OB	Kwg Group Holdings Ltd
KWHAF.OB	K Wah Intl Hlds Ltd Ord
KWHIF.OB	Kawasaki Heavy Industries Ltd [Japan]
KWHIY.OB	Kawasaki Heavy ADR
KWIPF.OB	Kiwi Income Property
KXINW.OB	Kaixin Auto Holdings WT
KXPLF.OB	Kent Expl Inc
KXSCF.OB	Kinaxis Inc
KYCCF.OB	Keyence Corp
KYKOF.OB	Kyowa Hakko Kogyo
KYNC.OB	Kyn Capital Group Inc
KYNS.OB	Keynes Technology CO Ltd
KYOCF.OB	Kyocera Corp
KYOCY.OB	Kyocera Corp
KYSEY.OB	Kyushu Electric Power CO Inc ADR
KYSRW.OB	Key Energy Services Inc [De] WT
KYSVW.OB	Key Energy Services Inc [De] WT
KYUNF.OB	Kyushu Financial Group Inc
KYYWF.OB	Keywords Studios Plc
KYZN.OB	Kyzen Corp
KZMYY.OB	Kaz Minerals Plc ADR
LAAB.OB	Startech Labs Inc
LAACZ.OB	Laaco Ltd L P Uts
LADFF.OB	New Carolin Gold Cor
LAKF.OB	Lake Forest Minerals Inc
LANZ.OB	Lancer Orthodontics Inc
LARAF.OB	Laura Ashley Hlds P
LAREF.OB	Lar Espana Real Estate Sa
LASLY.OB	Lentuo International Inc
LATF.OB	B& D Food Corp
LATNF.OB	Latin Amern Minerals
LATX.OB	Latitude 360 Inc
LAXAF.OB	Laxai Pharma Ltd
LAZYW.OB	Lazydays Holdings Inc WT Exp 12/01/2020
LBAO.OB	Luboa Group Inc
LBAS.OB	Location Based Techs
LBCC.OB	Long Blockchain Corp
LBCMF.OB	Libero Mining Corp
LBHRF.OB	Lancaster Capital Corp
LBLCF.OB	Loblaw Companies Ltd
LBLTF.OB	Lattice Biologics Ltd
LBRG.OB	Ladybug Resource Grp
LBRMF.OB	Labrador Iron Mines Holdings Ltd
LBSI.OB	Liberty Bancshares Inc [Oh] Cdt-Cap Stk
LBSR.OB	Liberty Star Uranium
LBTD.OB	Lotus Bio-Technology Development Corp
LBTI.OB	Lithium & Boron Technology Inc.
LBTSF.OB	Almirall Sa Ord
LBUY.OB	Leafbuyer Technologies Inc
LBYE.OB	Liberty Energy Corp
LCAR.OB	Lescarden Inc
LCCTF.OB	Loccitane Luxembourg
LCDX.OB	Lucid Inc
LCKYF.OB	Luckystrike Resources
LCLP.OB	Life Clips Inc
LCRE.OB	Lecere Corp
LCRTF.OB	Leucrotta Expl Inc
LCSHF.OB	Lancashire Holdings
LCTC.OB	Lifeloc
LCTSF.OB	Lectra
LDGYY.OB	Landis+Gyr Group Ag Ads
LDHL.OB	Ld Holdings Inc
LDKB.OB	Landmark Bancorp PA
LDNXF.OB	London Stock Exchange Group Plc
LDSI.OB	Life Design Station
LDSVF.OB	Lindt & Sprungli Ag
LEAI.OB	Legacy Education Alliance Inc
LEAS.OB	Strategic Asset Leasing Inc
LEAT.OB	Leatt Corp
LECBF.OB	Lepanto Consolidated Mining
LEGIF.OB	Leg Immobilien Ag
LEGX.OB	Legacyxchange Inc
LEHKQ.OB	Lehman Brothers Holdings Capital Trust III
LEHLQ.OB	Lehman Br Cap TR IV
LEHNQ.OB	Lehman Br Hld 6.24 N
LEIC.OB	Lead Innovation Corp
LEKOF.OB	Lekoil Ltd GBP Ord
LEMIF.OB	Leading Edge Materials Corp
LENSF.OB	Presbia Plc
LEON.OB	Leone Asset Management Inc
LFAP.OB	Lifeapps Brands Inc
LFBCF.OB	Life Bank & Split
LFCOF.OB	Lift & CO Corp
LFCYF.OB	Veloxis Pharms As Ord
LFDEF.OB	Urthecast Corp
LFER.OB	Life On Earth Inc
LFEX.OB	Lucky Friday Ext Mines CO
LFGP.OB	Ledyard Financial Gr
LFIN.OB	Longfin Corp
LFLS.OB	Loans4Less.com Inc
LFSYF.OB	Lifestyle Internatio
LFSYY.OB	Lifestyle Intl Hlds
LFUGF.OB	Li & Fung Ltd
LFUGY.OB	Li & Fung Ltd ADR
LGBI.OB	Cannabiz Mobile Inc
LGBS.OB	Legends Business Grp
LGDDF.OB	Lagardere Groupe Sca
LGDOF.OB	Reconnaissance Energy Africa Ltd
LGDRF.OB	G2 Goldfields Inc
LGDTF.OB	Liberty Gold Corp
LGFRY.OB	Longfor Properties
LGGNF.OB	Legal & General Grou
LGGNY.OB	Legal & General Grou
LGHEF.OB	Lightspeed Pos Inc
LGLBF.OB	Gold Bullion Secs Nts2004
LGNC.OB	Logan Clay Products CO
LGNDZ.OB	Ligand Pharma
LGNNF.OB	Lgim ETF Managers Limited L&G US Energy Infrastr
LGNXZ.OB	Ligand Pharma
LGNYZ.OB	Ligand Pharma
LGNZZ.OB	Ligand Pharma
LGORF.OB	Largo Resources Ltd
LGRDY.OB	Legrand Sa ADR
LGRVF.OB	Legrand S.A.
LGSXY.OB	Light S.A. ADR
LGTT.OB	Ligatt Security Intl Inc
LGYV.OB	Legacy Ventures International Inc
LHGI.OB	Lighthouse Global Holdings Inc
LHHMQ.OB	Lehman Bro Cap V 6.0
LHRP.OB	Lifehouse Retirement Ppty
LHSIF.OB	Liberty Health Sciences Inc
LHUAF.OB	Lianhua Supermkt Hlds CO
LIACF.OB	American Lithium Corp
LIBE.OB	Ngen Technologies Holdings Corp.
LIBED.OB	Ngen Technologies Holdings Corp.
LIBFF.OB	Liberty Leaf Holdings Ltd
LICH.OB	Livechain Inc.
LICT.OB	Lict Corp
LIFS.OB	Life Stem Genetics Inc
LIFZF.OB	Labrador Iron Ore
LIGA.OB	Lig Assets Inc
LIHC.OB	Liberty Intl Hld Corp
LILAB.OB	Liberty Latin America Ltd
LIMAF.OB	Linamar Corp
LINK.OB	Interlink Electronics Inc
LINS.OB	Life Insurance CO of Alabama
LINSA.OB	Life Ins CO Alabam A
LINUF.OB	Liniu Technology Group
LIQDQ.OB	Liquid Holdings Group Inc
LITH.OB	US Lithium Corp
LIVC.OB	Live Current Media
LIXT.OB	Lixte Biotech Hlds
LJUIF.OB	Ssy Group Ltd
LKAI.OB	Lka International IN
LKFLF.OB	Luk Fook Holdings IN
LKKRF.OB	Lookers Plc [Uk]
LKMNF.OB	Lucky Minerals
LKREF.OB	Link Real Estate Inv
LKSD.OB	Lsc Communications Inc
LKST.OB	Looksmart Group Inc
LLBO.OB	Lifeline Biotech
LLDTF.OB	Lloyds Tsb Grp Plc
LLESY.OB	Lend Lease Corp Ltd
LLKKF.OB	Lake Resources NL [Australia]
LLLI.OB	Lamperd Less Lethal
LLND.OB	Landmark Land CO Inc
LLNKF.OB	Litelink Technologies Inc
LMBHW.OB	Limbach Holdings Inc
LMCNF.OB	Leagold Mining
LMDCF.OB	Lingo Media Corp
LMEFF.OB	Laurion Minerals Exp
LMGDF.OB	Lumina Gold Corp.
LMGR.OB	Light Mgmt Group Inc
LMLLF.OB	Aura Health Inc
LMNGF.OB	Lions Bay Mining Corp
LMNK.OB	Lifestyle Medical Network Inc
LMPMY.OB	Lee & Man Paper Manu
LMRMF.OB	Lomiko Metals Inc
LMRXF.OB	Laramide Res Ltd
LMSMF.OB	Lms Medical Sys Inc
LMSQF.OB	Latin Metals Inc
LMTCF.OB	Stockport Expl Inc
LMTI.OB	Laser Master International Inc
LNCLF.OB	Lincoln Gold Mining Inc
LNDNF.OB	Lundin Petroleum Ab
LNDZF.OB	Inspira Financial Inc
LNGLF.OB	Liquefied Natural GS
LNGLY.OB	Liquefied Natural GA
LNGPF.OB	Longfor Properties CO Ltd
LNGT.OB	Laser Energetics Inc
LNHBF.OB	Lionhub Group Ltd
LNKG.OB	Link Group Inc
LNNFF.OB	Line Corp
LNNGF.OB	Li Ning Company Ltd
LNNGY.OB	Li Ning CO Ltd ADR
LNNNF.OB	Leoni Ag
LNNNY.OB	Leoni Ag ADR
LNSTY.OB	London Stock Exchange Group Plc
LNTEF.OB	Lintec Corp Ord
LNVGF.OB	Lenovo Group Ltd Ord
LNVGY.OB	Lenovo Group Ltd ADR
LNXGF.OB	Linux Gold Corp
LNXSF.OB	Lanxess Ag
LNXSY.OB	Lanxess Ag ADR
LNZNF.OB	Lenzing Ag Ord
LOCMQ.OB	Local Corp
LOFB.OB	Leaf of Faith Beverage Inc
LOGG.OB	Lifelogger Technologies Corp
LOGL.OB	Legend Oil & Gas
LOGN.OB	Logansport Finl Cp
LOGQ.OB	Logicquest Technology Inc
LOGX.OB	Peerlogix Inc
LOMLF.OB	Lion One Metals Ltd
LONCF.OB	Loncor Resources Inc
LOQPF.OB	Lo-Q Plc
LOTE.OB	Lot78 Inc
LOUIF.OB	Louis XiII
LOVFF.OB	Cannara Biotech Inc
LPBC.OB	Lincoln Park Bancorp
LPHM.OB	Lee Pharmaceuticals
LPKFF.OB	Lpkf Laser & Elect Ag Ord
LPKGF.OB	Lupaka Gold
LPMDF.OB	Lippo Malls Indonesi
LPPCF.OB	Lippo China Res Ltd
LPPI.OB	Leep Inc
LPPPF.OB	Loopshare Ltd
LPRRF.OB	Laurent Perrier Tours-Sur
LPSIF.OB	Legend Power Sys Inc
LPTC.OB	Leap Technology Inc
LPTI.OB	Longport Inc
LQMT.OB	Liquidmetal Tech
LQSIF.OB	Liquor Stores Inc
LQWC.OB	Lifequest World Cp
LRAXF.OB	Lara Exploration Ltd
LRCDF.OB	Laurentian Bk Cda Qu
LRDC.OB	Laredo Oil Inc
LRDR.OB	Laredo Resources Corp
LRENY.OB	Lojas Renner Sa ADR
LRGR.OB	Luminar Media Group Inc
LRLCF.OB	L'Oreal CO Act
LRLCY.OB	L'Oreal CO ADR
LRSNF.OB	Global Health Clinics Ltd
LRSV.OB	Link Reservations Inc
LRTNF.OB	Pure Gold Mining Inc
LRTTF.OB	Liberty One Lithium
LSAL.OB	Lasalle Brands Corp
LSANF.OB	Los Andes Copper Ltd
LSCG.OB	Lighting Science Grp
LSDAF.OB	Lassonde Industries Inc
LSFG.OB	Lifestore Financial
LSGEF.OB	Starr Peak Exploration Ltd
LSGOF.OB	Land Securities Grp
LSIIF.OB	Lisi Ord
LSKA.OB	Liska Biometry Inc
LSLPF.OB	Lsl Property Service
LSMG.OB	Lode-Star Mining Inc
LSMNF.OB	Lastminute.com NV
LSRCF.OB	Lasertec Corp
LSYN.OB	Liberated Syndication Inc
LTCCF.OB	Lite Access Technologies Inc
LTCP.OB	Lifes Time Capsule Services Inc
LTDH.OB	Living 3D Holdings Inc
LTEC.OB	Loud Technologies Inc
LTFD.OB	Littlefield Corp
LTGHY.OB	Life Healthcare
LTGJ.OB	Xiamen Lutong International Travel Agency CO
LTHHF.OB	Lithium Power Intl
LTHIF.OB	Lithic Resources Ltd
LTHO.OB	Legacy Tech Holdings Inc
LTHUQ.OB	Lithium Tech Cp
LTMCF.OB	Lithium Chile
LTMP.OB	Alltemp Inc
LTNC.OB	Labor Smart Inc
LTOUF.OB	Larsen & Toubro Ltd
LTRE.OB	Learning Tree International
LTSC.OB	Lightscape Techs Inc
LTTC.OB	Lattice Incorporated
LTTGF.OB	Lottogopher Holdings Inc
LTTHF.OB	Learning Technologies Group Plc
LTTSF.OB	Lotus Ventures Inc
LTUM.OB	Lithium Corp
LTUS.OB	Lotus Pharmaceutical
LUCC.OB	Luca Inc
LUCRF.OB	Lucara Diamond Corp
LUDG.OB	Ludwig Enterprises
LUKOY.OB	Lukoil CO ADR
LUMB.OB	Lumbee Guaranty Bank Pembroke NC
LUMIF.OB	Luminex Resources Corp
LUNMF.OB	Lundin Mng Corp
LUPAQ.OB	Lupatech S.A.
LUPEY.OB	Lundin Petroleum Ab ADR
LUSI.OB	Mma Global Inc
LUVU.OB	Liberator Inc
LVBX.OB	Levelblox Inc
LVCA.OB	Lake Victoria Mining
LVCLF.OB	Living Cell Technologies Ltd
LVCLY.OB	Living Cell Tech ADR
LVCNF.OB	Leviathan Cannabis Group Inc
LVGI.OB	Limitless Venture Group Inc
LVMHF.OB	Lvmh Moet Henn L Vut
LVMUY.OB	Lvmh Moet Henn
LVNSF.OB	Leonovus Inc
LVRLF.OB	Livereel Media Corp
LVSDF.OB	Lai Sun Development CO Ltd
LVTSF.OB	Livetiles Ltd
LVVEF.OB	Globalive Technology Inc
LVVV.OB	Livewire Ergogenics
LVWD.OB	Liveworld Inc
LVXI.OB	Las Vegas Xpress Inc
LWCL.OB	Lewis & Clark Bk Ore
LWCTF.OB	Low Carbon
LWLG.OB	Lightwave Logic Inc
LWSCF.OB	Leisureworld Sr Care
LXAM.OB	Lux Amber Corp
LXENF.OB	Lithium Energi
LXGTF.OB	Lexington Biosciences Inc
LXRP.OB	Lexaria Corp
LXXGF.OB	Lexagene Holdings
LYBC.OB	Lyons Bancorp Inc
LYDIF.OB	Lydian Intl Ltd
LYJN.OB	Lyric Jeans Inc
LYLP.OB	Loyaltypoint Inc
LYNS.OB	Lightyear Network
LYSCF.OB	Lynas Corp
LYSDY.OB	Lynas Corp ADR
LYSFF.OB	Leroy Seafood Group
LYSGF.OB	Lysogene
LYXIF.OB	Lyxor Bund Daily [-2X] Inverse Ucits Et
LZAGF.OB	Lonza Group Ltd
LZAGY.OB	Lonza Group Ag
LZRFY.OB	Localiza Rent A Car
MAAFF.OB	Magindustries Corp
MAAL.OB	Marketing Alliance
MAANF.OB	Maanshan Iron & Stee
MACE.OB	Mace Security International Inc
MADI.OB	Madison Systems Inc
MAEOY.OB	Manila Electric CO ADR
MAGE.OB	Magellan Gold Corp
MAGOF.OB	Man Se
MAGOY.OB	Man Ag ADR
MAGP.OB	Magplane Technology Inc
MAHI.OB	Monarch Svcs Inc
MAHLY.OB	Medipal Holdings Corp
MAHMF.OB	Mahindra&Mahindra Dp
MAIFF.OB	Minera Alamos
MAKOF.OB	Mako Mining Corp
MAKSF.OB	Marks & Spen Grp Ord
MAKSY.OB	Marks & SP Gp ADR
MALDF.OB	Macau Legend Dev Ord
MALJF.OB	Magellan Aerospace C
MALRF.OB	Mineral Resources Ltd
MALRY.OB	Mineral Resources Ltd
MAOMF.OB	Maudore Minerals Ltd
MAORF.OB	Mandarin Oriental IN
MAPGF.OB	Mapletree Logistics TR UT
MAPIF.OB	Mapletree Industrial TR
MAPL.OB	Maple Press CO
MAQAF.OB	Macquarie Atlas
MARFF.OB	Margaux Resources Ltd
MARUY.OB	Marubeni Corp ADR
MARXF.OB	Marenica Energy Ltd
MARZF.OB	Marstons Plc
MATN.OB	Mateon Therapeutics Inc
MAURF.OB	Marui Group CO Ltd
MAURY.OB	Marui Group CO Ltd
MAWHF.OB	Man Wah Holdings
MAXD.OB	Max Sound Corp
MAXMF.OB	Standard Explora Ltd
MAYGF.OB	Meadow Bay Gold Corp
MAYNF.OB	Mayne Pharma
MBAIF.OB	Cibt Education Group Inc
MBCFF.OB	Mbac Fertilizer Corp
MBCI.OB	Mabcure Inc
MBCQ.OB	MB Bancorp Inc
MBDE.OB	Morris Business Devl
MBFJF.OB	Mitsubishi Ufj Finan
MBGNF.OB	Med Biogene Inc
MBIOF.OB	Mobio Technologies
MBKL.OB	Metairie Bk & TR [La
MBLU.OB	Morris ST Bancshares Inc
MBLV.OB	Mobiventures Inc
MBNKF.OB	Metro Bank Plc
MBOF.OB	Marine Bancorp Fla Inc
MBUMY.OB	Mabuchi Mtr CO Ltd
MBVXQ.OB	Mabvax Therapeutics Holdings Inc
MBXBF.OB	Microbix Biosystems
MBYMF.OB	Mountain Boy Mineral
MCAP.OB	Mango Capital Inc
MCARY.OB	Mercari Inc ADR
MCBI.OB	Mountain Commerce Bancorp Inc
MCBK.OB	Madison County Financial Inc
MCBP.OB	Michigan Commuty Bncrp
MCCHF.OB	Mcchip Resources Inc
MCCK.OB	Mestek Inc
MCCRF.OB	Mccoy Global Inc
MCCX.OB	Mcorpcx Inc
MCDMF.OB	Macdonald Mines Exploration Ltd
MCELQ.OB	Millennium Cell IN
MCEM.OB	Monarch Cement CO
MCESF.OB	Macro Enterprises
MCET.OB	Multicell Techs Inc
MCFUF.OB	Micro Focus Intl Plc
MCHA.OB	Matchaah Holdings Inc
MCHB.OB	Mechanics Bk [Ca]
MCHHF.OB	Macmahon Holdings Ltd Ord
MCHN.OB	Mchenry Bancorp Inc
MCHOY.OB	Multichoice Group Ltd ADR
MCHT.OB	Mauch Chunk Finl Cp
MCHVF.OB	MGM China Holdings L
MCHVY.OB	MGM China Holdings Ltd ADR
MCIC.OB	Multicorp International Inc
MCIG.OB	Mcig Inc
MCLDF.OB	Mcloud Technologies Corp
MCOA.OB	Marijuana Company of America Inc
MCOIF.OB	Multichoice Group Ltd
MCPH.OB	Midland Cap Hlds
MCQEF.OB	Macquarie Group
MCRAA.OB	Mcrae Inds Cl A
MCRAB.OB	Mcrae Indus Inc B
MCREF.OB	Metals Creek Res
MCRPF.OB	Microport Scientific
MCRZF.OB	Mincor Resources
MCSHF.OB	Metcash Ltd
MCTC.OB	Mctc Holdings Inc
MCTH.OB	Medical Connections
MCUIF.OB	Miraculins Inc
MCUJF.OB	Medicure Inc
MCVT.OB	Mill City Ventures III Ltd
MCZAF.OB	Mad Catz Interactive Inc
MDAV.OB	Davi Luxury Brand Group Inc
MDAW.OB	Media Way Corp
MDBIF.OB	Medibio Ltd
MDCE.OB	Medical Care Technol
MDCL.OB	Medicine Man Technologies Inc
MDCN.OB	Medican Enterprises Inc
MDCT.OB	Midcoast Community Bancorp Inc
MDDM.OB	Mdm Group Inc
MDDVF.OB	Medical Developments International Ltd
MDEVF.OB	Melco Intl Devel
MDEX.OB	Madison Technologies Inc
MDFZF.OB	Medifocus Inc
MDGC.OB	Mediag3 Inc
MDGEF.OB	Medigene Ag
MDIBF.OB	Mediobanca Spa
MDIBY.OB	Mediobanca Spa ADR
MDIN.OB	Northstar Global Bus
MDIT.OB	Medite Cancer Diagnostics Inc
MDKM.OB	Mdechem Inc
MDLH.OB	Medical Intl Tech
MDLXF.OB	Rosita Mining Corp
MDMN.OB	Medinah Minerals Inc
MDMP.OB	Mdm Permian Inc
MDNAF.OB	Medicenna Therapeutics Corp
MDNDF.OB	McDonalds CO Ltd Tokyo
MDNGF.OB	Midnight Sun Mining
MDNNF.OB	Niobay Metals Inc
MDOUF.OB	Maisons Du Monde France
MDRIQ.OB	McDermott International
MDRM.OB	Modern Mobility Aids
MDRPF.OB	Midas Gold Corp
MDSMF.OB	Medusa Mining Ltd
MDTC.OB	Media Techs Inc
MDTR.OB	Medtainer Inc
MDVT.OB	Middlebury Natl Corp
MDWK.OB	Mdwerks Inc
MDXG.OB	Mimedx Group Inc
MDXHF.OB	Medx Health Corp
MDXL.OB	Medixall Group Inc
MEDD.OB	Medical Imaging Corp
MEDH.OB	Medx Holdings Inc
MEDIF.OB	Medipharm Labs Corp
MEDT.OB	Mediatechnics Corp
MEEC.OB	Midwest Energy Emissions Corp
MEGEF.OB	Meg Energy Corp
MEGGF.OB	Meggitt Plc
MEGGY.OB	Meggitt Plc
MEIL.OB	Methes Energies International L
MELR.OB	Melrose Bancorp
MEMI.OB	Miracle Entmt Inc
MENB.OB	Mendocino Brewing CO
MENEF.OB	Mene Inc
MENXF.OB	Memex Inc Ordinary Shares [Ca
MEOBF.OB	Mesoblast Ltd
MEPW.OB	ME Renewable Power
MERR.OB	Merriman Holdings
MEXGF.OB	Mexican Gold Corp
MFBP.OB	M&F Bancorp Inc
MFCO.OB	Microwave Filter C
MFCSF.OB	Medical Facs Corp
MFDB.OB	Mutual Federal Bcp
MFGI.OB	Merchants Financial Group Inc
MFMLF.OB	Marifil Mines Ltd
MFON.OB	Mobivity Holdings Corp
MFRVF.OB	Minera Frisco Sab DE
MFST.OB	Medifirst Solutions
MGAFF.OB	Mega Uranium Ltd
MGAG.OB	Mortgage Oil Corp
MGAWY.OB	Megaworld Corp ADR
MGCLF.OB	Mgc Pharmaceuticals Ltd
MGDDF.OB	Michelin Cie Gen Des
MGDDY.OB	Compagnie Generale D
MGDPF.OB	Marathon Gold Corp
MGHCF.OB	Minco Gold Corp
MGHL.OB	Morgan Group Hlds CO
MGLDF.OB	Medgold Resources Corp
MGLG.OB	Magellan Energy Ltd
MGLQF.OB	Magna Gold Corp
MGMCA.OB	MGM Holdings Inc Cl A
MGMLF.OB	Maple Gold Mines Ltd
MGNT.OB	Meganet Corp
MGOM.OB	Alfacourse Inc
MGON.OB	Megola Inc
MGPHF.OB	Mason Graphite
MGPPF.OB	Megaport Ltd
MGPRF.OB	MAG One Products Inc
MGPUF.OB	M&G Plc
MGROF.OB	Mustgrow Biologics Corp
MGRUF.OB	Morguard Real Est UT
MGTI.OB	MGT Capital Investments Inc
MGWFF.OB	Maple Leaf Green Wor
MGXMF.OB	Mgx Minerals Inc
MGXRF.OB	Mgx Renewables Inc
MGYOY.OB	Mol Magyar Olaj Gaz
MHCC.OB	Millennium Healthcare Inc
MHGI.OB	Midnight Hlds Group Inc
MHGU.OB	Meritage Hosp Gr
MHGUP.OB	Meritage Hospitality Group Inc Pfd Conv Ser B
MHGVY.OB	Marine Harvest ASA ADR [Norway]
MHHC.OB	Mccusker Holdings Corp
MHIVF.OB	Mainstreet Health Investments Inc
MHPC.OB	Manufactured Housing Properties Inc
MHTLY.OB	Metcash Ltd ADR
MHTX.OB	Manhattan Scients
MHVYF.OB	Mitsubishi Heavy Ind
MICCF.OB	Millcom Swed Dep Rec
MICFF.OB	Mint Income Fund Trust
MICWF.OB	Micron Waste Technologies Inc
MIDLF.OB	Midland Expl Inc
MIELF.OB	Mitsubishi Elect Cor
MIELY.OB	Mitsubishi Elect Cor
MIFF.OB	Mifflinburg Bancorp Inc
MIHI.OB	Medical Innovation Holdings Inc
MIKP.OB	Mike The Pike Produc
MILC.OB	Millennium Investment & Acquisition CO
MILTY.OB	Mills Estruturas E Servicos DE Enhenhaia Sa ADR
MILV.OB	Mistral Ventures Inc
MIMZD.OB	Nighthawk Gold Corp
MIMZF.OB	Nighthawk Gold Corp
MINE.OB	Minerco Res Inc
MINXF.OB	Mercantile Investment Trust Plc
